Time,WL
00:03:59,50
00:04:00,50
00:04:01,50
00:04:02,60
00:04:03,60
00:04:04,60
00:04:05,60
00:04:06,60
00:04:07,60
00:04:08,60
00:04:08,60
00:04:10,60
00:04:11,60
00:04:11,60
00:04:13,60
00:04:14,60
00:04:15,60
00:04:16,60
00:04:17,60
00:04:18,60
00:04:19,60
00:04:20,60
00:04:21,60
00:04:22,60
00:04:23,60
00:04:24,60
00:04:25,60
00:04:26,60
00:04:27,60
00:04:28,60
00:04:29,60
00:04:30,60
00:04:31,60
00:04:32,60
00:04:33,60
00:04:34,60
00:04:35,60
00:04:36,60
00:04:37,60
00:04:38,60
00:04:39,60
00:04:40,60
00:04:41,60
00:04:42,60
00:04:43,60
00:04:45,60
00:04:45,60
00:04:46,60
00:04:48,60
00:04:49,60
00:04:49,60
00:04:51,60
00:04:52,60
00:04:52,60
00:04:53,60
00:04:55,60
00:04:55,60
00:04:56,60
00:04:58,60
00:04:58,60
00:05:00,60
00:05:01,60
00:05:02,60
00:05:03,60
00:05:04,60
00:05:05,60
00:05:06,60
00:05:07,60
00:05:08,60
00:05:08,60
00:05:10,60
00:05:11,60
00:05:11,60
00:05:13,60
00:05:14,60
00:05:15,60
00:05:16,60
00:05:17,60
00:05:18,60
00:05:19,60
00:05:20,60
00:05:21,60
00:05:22,60
00:05:23,60
00:05:24,60
00:05:25,60
00:05:26,60
00:05:27,60
00:05:28,60
00:05:30,60
00:05:30,60
00:05:31,60
00:05:33,60
00:05:33,60
00:05:34,60
00:05:36,60
00:05:36,60
00:05:37,60
00:05:38,60
00:05:40,60
00:05:40,60
00:05:41,60
00:05:43,60
00:05:43,60
00:05:45,60
00:05:46,60
00:05:46,60
00:05:48,60
00:05:49,60
00:05:50,60
00:05:51,60
00:05:52,60
00:05:53,60
00:05:53,60
00:05:55,60
00:05:56,60
00:05:57,60
00:05:58,60
00:05:59,60
00:06:00,60
00:06:01,60
00:06:02,60
00:06:03,60
00:06:04,60
00:06:05,60
00:06:06,60
00:06:07,60
00:06:08,60
00:06:09,60
00:06:10,60
00:06:11,60
00:06:12,60
00:06:13,60
00:06:14,60
00:06:15,60
00:06:16,60
00:06:18,60
00:06:18,60
00:06:19,60
00:06:21,60
00:06:21,60
00:06:22,60
00:06:23,60
00:06:24,60
00:06:25,60
00:06:26,60
00:06:28,60
00:06:28,60
00:06:30,60
00:06:31,60
00:06:31,60
00:06:33,60
00:06:34,60
00:06:34,60
00:06:36,60
00:06:37,60
00:06:37,60
00:06:38,60
00:06:40,60
00:06:41,60
00:06:41,60
00:06:43,60
00:06:44,60
00:06:45,60
00:06:46,60
00:06:47,60
00:06:48,60
00:06:49,60
00:06:50,60
00:06:51,60
00:06:52,60
00:06:53,60
00:06:53,60
00:06:55,60
00:06:56,60
00:06:57,60
00:06:58,60
00:06:59,60
00:07:00,60
00:07:01,60
00:07:02,60
00:07:03,60
00:07:04,60
00:07:05,60
00:07:06,60
00:07:07,60
00:07:08,60
00:07:09,60
00:07:10,60
00:07:11,60
00:07:12,60
00:07:13,60
00:07:14,60
00:07:15,60
00:07:16,60
00:07:17,60
00:07:18,60
00:07:19,60
00:07:20,60
00:07:21,60
00:07:22,60
00:07:23,60
00:07:24,60
00:07:25,60
00:07:26,60
00:07:27,60
00:07:28,60
00:07:30,60
00:07:30,60
00:07:31,60
00:07:33,60
00:07:33,60
00:07:34,60
00:07:36,60
00:07:36,60
00:07:37,60
00:07:38,60
00:07:39,60
00:07:40,60
00:07:41,60
00:07:43,60
00:07:43,60
00:07:45,60
00:07:46,60
00:07:46,60
00:07:48,60
00:07:49,60
00:07:49,60
00:07:51,60
00:07:52,60
00:07:52,60
00:07:53,60
00:07:55,60
00:07:56,60
00:07:56,60
00:07:58,60
00:07:59,60
00:08:00,60
00:08:01,60
00:08:02,70
00:08:03,70
00:08:04,70
00:08:05,70
00:08:06,70
00:08:07,70
00:08:08,70
00:08:09,70
00:08:10,70
00:08:11,70
00:08:12,70
00:08:13,70
00:08:14,70
00:08:15,70
00:08:16,70
00:08:17,70
00:08:18,70
00:08:19,70
00:08:20,70
00:08:21,70
00:08:22,70
00:08:23,70
00:08:24,70
00:08:25,70
00:08:26,70
00:08:27,70
00:08:28,70
00:08:29,70
00:08:30,70
00:08:31,70
00:08:32,70
00:08:33,70
00:08:34,70
00:08:36,70
00:08:36,70
00:08:37,70
00:08:38,70
00:08:39,70
00:08:40,70
00:08:41,70
00:08:42,70
00:08:43,70
00:08:45,70
00:08:45,70
00:08:46,70
00:08:48,70
00:08:48,70
00:08:49,70
00:08:51,70
00:08:52,70
00:08:52,70
00:08:53,70
00:08:55,70
00:08:55,70
00:08:56,70
00:08:58,70
00:08:58,70
00:09:00,70
00:09:01,70
00:09:01,70
00:09:03,70
00:09:04,70
00:09:04,70
00:09:06,70
00:09:07,70
00:09:08,70
00:09:08,70
00:09:10,70
00:09:11,70
00:09:11,70
00:09:13,70
00:09:14,70
00:09:15,70
00:09:16,70
00:09:17,70
00:09:18,70
00:09:19,70
00:09:20,70
00:09:21,70
00:09:22,70
00:09:23,70
00:09:24,70
00:09:25,70
00:09:26,70
00:09:27,70
00:09:28,70
00:09:29,70
00:09:30,70
00:09:31,70
00:09:32,70
00:09:33,70
00:09:34,70
00:09:35,70
00:09:36,70
00:09:37,70
00:09:38,70
00:09:39,70
00:09:40,70
00:09:41,70
00:09:42,70
00:09:43,70
00:09:44,70
00:09:45,70
00:09:46,70
00:09:47,70
00:09:48,70
00:09:49,70
00:09:50,70
00:09:51,70
00:09:52,70
00:09:53,70
00:09:54,70
00:09:55,70
00:09:56,70
00:09:57,70
00:09:58,70
00:10:00,70
00:10:00,70
00:10:01,70
00:10:03,70
00:10:03,70
00:10:04,70
00:10:06,70
00:10:06,70
00:10:07,70
00:10:08,70
00:10:10,70
00:10:10,70
00:10:11,70
00:10:13,70
00:10:13,70
00:10:15,70
00:10:16,70
00:10:16,70
00:10:18,70
00:10:19,70
